sku,name,product,number,unit
6010002,皮蛋瘦肉粥,11023056,0.0032,公斤
6010002,皮蛋瘦肉粥,11028001,0.0417,公斤
6010002,皮蛋瘦肉粥,11024001,0.0417,公斤
6010002,皮蛋瘦肉粥,21021502,0.00725,公斤
6010002,皮蛋瘦肉粥,11023066,0.0042,公斤
8010015,猪肉玉米包,11010056,2,个
8010009,单个鸡蛋花卷,11010050,1,个
8010003,鸡蛋花卷,11010050,2,个
8010004,荷香糯米鸡,11054022,1,个
8010046,黑米包,11012040,2,个
8010047,单个黑米包,11012040,1,个
8010016,单个猪肉包,11010056,1,个
9010001,香滑肠粉,11030072,0.04,公斤
6010001,白粥,11023066,0.00187,公斤
6010001,白粥,21021502,0.00769,公斤
6010001,白粥,11028001,0.0305,公斤
6010001,白粥,11024001,0.0305,公斤
8010042,酸豆角肉包,11018058,2,个
6010004,玉米燕麦粥,11028001,0.01631,公斤
6010004,玉米燕麦粥,11024001,0.01631,公斤
6010004,玉米燕麦粥,11091005,0.00411,公斤
6010004,玉米燕麦粥,21021502,0.00411,公斤
8010005,麦香豆沙包,11010043,2,个
6010005,红薯小米粥,11028001,0.01135,公斤
6010005,红薯小米粥,11024001,0.01135,公斤
6010005,红薯小米粥,11091005,0.00286,公斤
6010005,红薯小米粥,21021502,0.00286,公斤
6010005,红薯小米粥,11023066,0.0007,公斤
10010002,红豆冻奶茶,11022066,0.07,公斤
10020013,香脆Q蛋仔,11053072,0.01,公斤
10020013,香脆Q蛋仔,11053071,0.01,公斤
10010003,珍珠冻奶茶,11022067,0.0312,包
10010001,冻奶茶,11022016,0.035,公斤
10010001,冻奶茶,11022067,0.0357,包
10020004,椰汁红豆西米露,11012028,0.017,公斤
10020004,椰汁红豆西米露,11012012,0.017,公斤
10020004,椰汁红豆西米露,11022016,0.017,公斤
10010006,热奶茶,11022016,0.022,公斤
10010006,热奶茶,11022067,0.0357,包
10010006,热奶茶,11022066,0.085,公斤
10010007,红豆热奶茶,11080042,0.04,公斤
10010007,红豆热奶茶,11022067,0.031,包
10010007,红豆热奶茶,11022066,0.069,公斤
10010007,红豆热奶茶,11022016,0.019,公斤
10010007,红豆热奶茶,11022067,0.0312,包
10010007,红豆热奶茶,11022016,0.03,公斤
10010007,红豆热奶茶,11080042,0.04,公斤
10010008,珍珠热奶茶,11022066,0.069,公斤
10010008,珍珠热奶茶,11022067,0.031,包
10010008,珍珠热奶茶,11022016,0.026,公斤
10010008,珍珠热奶茶,11022105,0.02,公斤
